id, !, !=, #, &&, (, ), *, +, comma, -, /, ;, <, <=, =, ==, >, >=, UFLOAT, UINT, do, double, id, if, int, printf, scanf, then, while, {, ||, }, ANDITEM, ASSIGN, B, BANDTERM, BFACTOR, BORTERM, EXPR, FACTOR, ID, ITEM, L, M, MUL_DIV, N, NOITEM, ORITEM, PLUS_MINUS, PRINTF, PRINTF_BEGIN, PROG, REL, RELITEM, S', SCANF, SCANF_BEGIN, STATEMENT, SUBPROG, T, VARIABLE, VARIABLES
110, s166 , , , , s167 , , , s60 , , s61 , , , , , , , , , s177 , s178 , , , s179 , , , , , , , , , , 168 , , , , , , 169 , 170 , 171 , 172 , , , , , 173 , 174 , 175 , , , , , 176 , , , , , , , , 
111, , , , , , , , , , , , r3 , , , , , , , , , , , r3 , r3 , , r3 , r3 , , r3 , r3 , , s181 , , , , , , , , , , , , , , 180 , , , , , , , , , , , , , , , , 
112, , , , , , , , , , , , r62 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
113, , , , , , , , , , , , r59 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
114, , , , , , , , , , , , , , , , , , , , , , , , , , , , s182 , , , s89 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
115, s100 , , , , s101 , , , , , , , , , , , , , , s107 , s108 , , , s109 , , , , , , , , , , , , 183 , 103 , 104 , 105 , , , 106 , , , , , , , , , , , , , , , , , , , , , 
116, , , , , , , , , , , , s184 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
117, , s136 , r26 , r26 , , , , , , , , , s137 , s138 , , s139 , s140 , s141 , , , , , , , , , , , , , r26 , , , , , , , , , , , , , , , , , , , , , , 142 , , , , , , , , , 
118, , , , , s119 , , , s60 , , s61 , , , , , , , , , s129 , s130 , , , s131 , , , , , , , , , , , , , , , , , 122 , 123 , 124 , , , , , 185 , , 127 , , , , , 128 , , , , , , , , 
119, s118 , , , , s119 , , , s60 , , s61 , , , , , , , , , s129 , s130 , , , s131 , , , , , , , , , , 120 , , , , , , 186 , 122 , 123 , 124 , , , , , 125 , 126 , 127 , , , , , 128 , , , , , , , , 
120, , , , r24 , , r24 , , , , , , , , , , , , , , , , , , , , , , , , , r24 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
121, , , , , , s187 , , , , , , , , , , , , , , , , , , , , , , , , , s188 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
122, , r31 , , r31 , , r31 , r31 , r31 , , r31 , r31 , , r31 , r31 , , r31 , r31 , r31 , , , , , , , , , , , , , r31 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
123, , r33 , , r33 , , r33 , r33 , r33 , , r33 , r33 , , r33 , r33 , , r33 , r33 , r33 , , , , , , , , , , , , , r33 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
124, , r30 , , r30 , , r30 , s133 , r30 , , r30 , s134 , , r30 , r30 , , r30 , r30 , r30 , , , , , , , , , , , , , r30 , , , , , , , , , , , , , , 189 , , , , , , , , , , , , , , , , , 
125, , s136 , , r25 , , r25 , , , , , , , s137 , s138 , , s139 , s140 , s141 , , , , , , , , , , , , , r25 , , , , , , , , , , , , , , , , , , , , , , 190 , , , , , , , , , 
126, , , , s191 , , r22 , , , , , , , , , , , , , , , , , , , , , , , , , r22 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
127, , , , , s119 , , , s60 , , s61 , , , , , , , , , s129 , s130 , , , s131 , , , , , , , , , , , , , , , , , 192 , 123 , , , , , , , , 127 , , , , , , , , , , , , , 
128, , r28 , , r28 , , r28 , , s60 , , s61 , , , r28 , r28 , , r28 , r28 , r28 , , , , , , , , , , , , , r28 , , , , , , , , , , , , , , , , , , 193 , , , , , , , , , , , , , 
129, , r35 , , r35 , , r35 , r35 , r35 , , r35 , r35 , , r35 , r35 , , r35 , r35 , r35 , , , , , , , , , , , , , r35 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
130, , r34 , , r34 , , r34 , r34 , r34 , , r34 , r34 , , r34 , r34 , , r34 , r34 , r34 , , , , , , , , , , , , , r34 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
131, , r8 , , r8 , , r8 , r8 , r8 , , r8 , r8 , , r8 , r8 , , r8 , r8 , r8 , , , , , , , , , , , , , r8 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
132, s58 , , , , s59 , , , s60 , , s61 , , , , , , , , , s71 , s72 , , , s73 , , , , , , , , , , 62 , , , , , , , 64 , 65 , 66 , , , , , 67 , 194 , 69 , , , , , 70 , , , , , , , , 
133, , , , , r51 , , , r51 , , r51 , , , , , , , , , r51 , r51 , , , r51 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
134, , , , , r52 , , , r52 , , r52 , , , , , , , , , r52 , r52 , , , r52 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
135, , , , , s59 , , , s60 , , s61 , , , , , , , , , s71 , s72 , , , s73 , , , , , , , , , , , , , , , , , 195 , 65 , , , , , , , , 69 , , , , , , , , , , , , , 
136, , , , , r54 , , , r54 , , r54 , , , , , , , , , r54 , r54 , , , r54 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
137, , , , , r55 , , , r55 , , r55 , , , , , , , , , r55 , r55 , , , r55 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
138, , , , , r56 , , , r56 , , r56 , , , , , , , , , r56 , r56 , , , r56 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
139, , , , , r53 , , , r53 , , r53 , , , , , , , , , r53 , r53 , , , r53 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
140, , , , , r57 , , , r57 , , r57 , , , , , , , , , r57 , r57 , , , r57 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
141, , , , , r58 , , , r58 , , r58 , , , , , , , , , r58 , r58 , , , r58 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
142, , , , , s59 , , , s60 , , s61 , , , , , , , , , s71 , s72 , , , s73 , , , , , , , , , , , , , , , , , 64 , 65 , 66 , , , , , , , 69 , , , , , 196 , , , , , , , , 
143, s58 , , , , s59 , , , s60 , , s61 , , , , , , , , , s71 , s72 , , , s73 , , , , , , , , , , 197 , , , , , , , 64 , 65 , 66 , , , , , 67 , , 69 , , , , , 70 , , , , , , , , 
144, , r37 , r37 , r37 , , , r37 , r37 , , r37 , r37 , , r37 , r37 , , r37 , r37 , r37 , , , , , , , , , , , , , r37 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
145, , , , , s59 , , , s60 , , s61 , , , , , , , , , s71 , s72 , , , s73 , , , , , , , , , , , , , , , , , 64 , 65 , 198 , , , , , , , 69 , , , , , , , , , , , , , 
146, , , , r43 , , r43 , , , , , , , , , , , , , , , , , , , , , , , , , r43 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
147, , , , , , s199 , , , , , , , , , , , , , , , , , , , , , , , , , s149 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
148, , , , r42 , , , , , , , , , , , , , , , , , , , , , , , , r42 , , , r42 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
149, r3 , , , , r3 , , , , , , , , , , , , , , r3 , r3 , , , r3 , , , , , , , , , , , , , , , , , , , , , , , 200 , , , , , , , , , , , , , , , , 
